"Search query: ""real world""[Title/Abstract] OR ""real-world""[Title/Abstract]"
Year,Count
2022,3716
2021,13378
2020,10011
2019,7562
2018,6188
2017,4854
2016,3864
2015,3144
2014,2717
2013,2230
2012,1894
2011,1551
2010,1340
2009,1065
2008,912
2007,776
2006,622
2005,537
2004,401
2003,348
2002,292
2001,285
2000,215
1999,200
1998,168
1997,116
1996,109
1995,112
1994,69
1993,69
1992,60
1991,40
1990,51
1989,37
1988,26
1987,31
1986,20
1985,18
1984,22
1983,26
1982,22
1981,9
1980,20
1979,18
1978,7
1977,10
1976,12
1975,13
1974,8
1973,4
1972,4
1971,1
1967,1
1966,1
