"Search query: ""real world""[Title] OR ""real-world""[Title]"
Year,Count
2022,1213
2021,4156
2020,3000
2019,2091
2018,1587
2017,1124
2016,763
2015,527
2014,505
2013,384
2012,288
2011,270
2010,208
2009,161
2008,152
2007,108
2006,92
2005,105
2004,74
2003,78
2002,51
2001,50
2000,28
1999,31
1998,38
1997,10
1996,24
1995,19
1994,25
1993,16
1992,15
1991,6
1990,7
1989,7
1988,8
1987,9
1986,4
1985,6
1984,5
1983,6
1982,8
1981,3
1980,10
1979,7
1978,5
1977,2
1976,6
1975,2
1974,8
1973,4
1972,2
1966,1
