"Search query: (""1500""[Date - Publication] : ""3000""[Date - Publication])"
Year,Count
2022,443611
2021,1769667
2020,1626284
2019,1409655
2018,1345890
2017,1303146
2016,1284530
2015,1257461
2014,1205375
2013,1149742
2012,1089599
2011,1020415
2010,942028
2009,877548
2008,837074
2007,786655
2006,749984
2005,700392
2004,639755
2003,594557
2002,565412
2001,547586
2000,532586
1999,493917
1998,474726
1997,456872
1996,458734
1995,449206
1994,438302
1993,427569
1992,418029
1991,413209
1990,410894
1989,402807
1988,387043
1987,367993
1986,349737
1985,335371
1984,318253
1983,309532
1982,295773
1981,283640
1980,280656
1979,282102
1978,272570
1977,262192
1976,254975
1975,249192
1974,235110
1973,231126
1972,227930
1971,223658
1970,219426
1969,215346
1968,208157
1967,192077
1966,180185
1965,176737
1964,162110
1963,141540
1962,125694
1961,120180
1960,112222
1959,110000
1958,109469
1957,111529
1956,107016
1955,108562
1954,105942
1953,108924
1952,108182
1951,103821
1950,85792
1949,62826
1948,70757
1947,65050
1946,53932
1945,20513
1944,4791
1943,4562
1942,4843
1941,4918
1940,5073
1939,5661
1938,5874
1937,5428
1936,5496
1935,5769
1934,5607
1933,5724
1932,5671
1931,5608
1930,5733
1929,5831
1928,5579
1927,5980
1926,5427
1925,5093
1924,4992
1923,4579
1922,4264
1921,4776
1920,5130
1919,4539
1918,4166
1917,4153
1916,4390
1915,4575
1914,5111
1913,5097
1912,4813
1911,4893
1910,4730
1909,4637
1908,4300
1907,3945
1906,3622
1905,3744
1904,3719
1903,3541
1902,3389
1901,3299
1900,3247
1899,3362
1898,3662
1897,3614
1896,3458
1895,3153
1894,2955
1893,3367
1892,2983
1891,2480
1890,2804
1889,3177
1888,2759
1887,2815
1886,2272
1885,2174
1884,1987
1883,2000
1882,1385
1881,1781
1880,1536
1879,1380
1878,1421
1877,1296
1876,1237
1875,1228
1874,1338
1873,1494
1872,1519
1871,1279
1870,1229
1869,1336
1868,1232
1867,1141
1866,974
1865,624
1864,680
1863,546
1862,658
1861,646
1860,857
1859,739
1858,819
1857,734
1856,735
1855,737
1854,489
1853,670
1852,582
1851,581
1850,509
1849,501
1848,576
1847,545
1846,561
1845,589
1844,609
1843,813
1842,972
1841,829
1840,395
1839,289
1838,265
1837,281
1836,220
1835,222
1834,209
1833,221
1832,285
1831,579
1830,510
1829,568
1828,409
1827,327
1826,385
1825,262
1824,269
1823,291
1822,247
1821,270
1820,213
1819,225
1818,279
1817,288
1816,315
1815,222
1814,285
1813,265
1812,239
1811,322
1810,267
1809,265
1808,289
1807,295
1806,282
1805,314
1804,304
1803,269
1802,291
1801,368
1800,387
1799,300
1798,19
1797,69
1796,20
1795,13
1794,18
1793,17
1792,33
1791,19
1790,45
1789,32
1788,33
1787,43
1786,60
1785,43
1784,31
1783,26
1782,22
1781,69
