Search query: ((clinical[Title/Abstract] AND trial[Title/Abstract]) OR clinical trials as topic[MeSH Terms] OR clinical trial[Publication Type] OR random*[Title/Abstract] OR random allocation[MeSH Terms] OR therapeutic use[MeSH Subheading])
Year,Count
2022,50449
2021,269505
2020,287145
2019,270091
2018,262734
2017,255844
2016,254135
2015,257856
2014,254677
2013,246506
2012,233600
2011,220782
2010,204603
2009,191756
2008,182113
2007,172351
2006,164189
2005,155458
2004,143112
2003,135487
2002,123296
2001,115410
2000,109389
1999,103551
1998,99104
1997,94010
1996,89855
1995,86942
1994,83379
1993,76899
1992,73909
1991,73009
1990,72716
1989,68805
1988,62439
1987,59053
1986,56630
1985,54868
1984,53058
1983,50817
1982,47230
1981,43157
1980,41526
1979,42322
1978,40095
1977,38427
1976,37429
1975,36967
1974,38053
1973,36994
1972,34223
1971,32499
1970,30365
1969,29047
1968,26285
1967,23432
1966,20164
1965,12167
1964,2048
1963,758
1962,300
1961,195
1960,162
1959,3916
1958,8671
1957,9248
1956,9375
1955,9736
1954,9463
1953,9508
1952,7982
1951,3466
1950,212
1949,327
1948,597
1947,433
1946,405
1945,79
1944,2
1942,2
1941,2
1940,1
1939,3
1936,4
1935,1
1933,1
1932,2
1927,1
1926,1
1925,2
1924,2
1918,3
1911,3
1902,1
1895,1
1885,1
1875,1
1867,1
1859,1
1856,1
1844,1
