Search query: (randomized controlled trial[Publication Type] OR (randomized[Title/Abstract] AND controlled[Title/Abstract] AND trial[Title/Abstract]))
Year,Count
2022,7352
2021,35665
2020,36379
2019,33362
2018,32654
2017,32926
2016,32763
2015,33288
2014,33090
2013,32481
2012,29612
2011,27197
2010,24075
2009,21979
2008,20826
2007,20160
2006,18401
2005,17211
2004,15872
2003,14077
2002,12795
2001,12503
2000,11632
1999,11827
1998,11050
1997,10560
1996,10365
1995,10546
1994,9614
1993,8346
1992,7658
1991,7250
1990,6821
1989,5702
1988,4572
1987,4478
1986,3922
1985,3557
1984,2923
1983,3079
1982,2568
1981,2298
1980,2075
1979,1795
1978,1472
1977,1252
1976,1247
1975,938
1974,650
1973,572
1972,476
1971,378
1970,356
1969,289
1968,271
1967,217
1966,194
1965,39
1961,1
1960,1
