"Search query: ""randomized""[Title] OR ""randomised""[Title]"
Year,Count
2022,7090
2021,27308
2020,24989
2019,21308
2018,19344
2017,18277
2016,17185
2015,15961
2014,14148
2013,12774
2012,10988
2011,9544
2010,7774
2009,7072
2008,6349
2007,5724
2006,5204
2005,4812
2004,4068
2003,3617
2002,3268
2001,2862
2000,2601
1999,2399
1998,2185
1997,1773
1996,1537
1995,1449
1994,1240
1993,1155
1992,1038
1991,981
1990,843
1989,809
1988,675
1987,627
1986,588
1985,554
1984,395
1983,354
1982,287
1981,245
1980,176
1979,187
1978,134
1977,90
1976,70
1975,56
1974,31
1973,23
1972,23
1971,7
1970,6
1969,6
1968,4
1967,2
1966,4
1965,5
1963,1
1962,1
1960,1
1958,1
1954,1
1953,1
